time (s),temperature (C)
120.56,17.19
120.86,17.11
121.16,17.06
121.47,17.28
121.77,17.18
122.07,16.83
122.37,17.33
122.68,17.16
122.98,17.07
123.28,17.24
123.58,16.87
123.89,16.93
124.19,17.05
124.49,16.97
124.79,17.09
125.1,16.83
125.4,16.87
125.7,16.89
126.01,16.7
126.31,16.8
126.61,16.81
126.91,16.79
127.22,16.75
127.52,16.81
127.82,16.84
128.12,16.85
128.43,17.04
128.73,16.86
129.03,16.9
129.33,16.72
129.64,16.8
129.94,16.74
130.24,16.82
130.54,16.9
130.85,16.84
131.15,16.84
131.45,16.78
131.75,16.66
132.06,16.82
132.36,16.92
132.66,16.79
132.96,16.84
133.27,17.02
133.57,17.06
133.87,16.75
134.17,16.99
134.48,17.14
134.78,17.12
135.08,16.78
135.38,17.11
135.69,17.01
135.99,17.06
136.29,16.94
136.59,17.22
136.9,17.04
137.2,17.0
137.5,17.13
137.8,16.87
138.11,17.07
138.41,17.1
138.71,16.97
139.02,17.15
139.32,17.05
139.62,16.79
139.92,16.98
140.23,16.91
140.53,16.9
140.83,16.88
141.13,16.9
141.44,16.72
141.74,16.62
142.04,16.89
142.34,16.86
142.65,16.65
142.95,16.9
143.25,16.63
143.55,16.82
143.86,16.67
144.16,16.69
144.46,16.65
144.76,16.58
145.07,16.72
145.37,16.91
145.67,16.53
145.97,16.52
146.28,16.77
146.58,16.62
146.88,16.73
147.18,16.66
147.49,16.59
147.79,16.68
148.09,16.48
148.39,16.3
148.7,16.2
149.0,16.33
149.3,16.56
149.6,16.56
149.91,16.5
150.21,16.34
150.51,16.94
150.81,16.77
151.12,16.71
151.42,16.49
151.72,16.64
152.02,16.71
152.33,16.78
152.63,16.53
152.93,16.65
153.23,16.53
153.54,16.56
153.84,16.72
154.14,16.72
154.44,16.78
154.75,16.93
155.05,16.63
155.35,16.85
155.66,16.7
155.96,16.84
156.26,17.69
156.56,16.85
156.87,16.9
157.17,16.72
157.47,16.78
157.77,16.87
158.07,16.78
158.38,16.69
158.68,16.81
158.98,16.99
159.29,16.78
159.59,16.95
159.89,16.88
160.19,17.08
160.5,17.06
160.8,16.96
161.1,17.09
161.4,17.09
161.71,16.86
162.01,17.04
162.31,16.84
162.61,16.9
162.91,16.99
163.22,16.82
163.52,17.01
163.82,16.79
164.13,16.65
164.43,16.81
164.73,16.86
165.03,16.99
165.34,17.05
165.64,16.98
165.94,16.97
166.24,16.33
166.55,16.81
166.85,16.74
167.15,16.47
167.45,16.65
167.76,16.65
168.06,16.56
168.36,16.57
168.66,16.68
168.97,16.55
169.27,16.55
169.57,16.83
169.87,16.5
170.18,16.43
170.48,16.35
170.78,16.51
171.08,16.38
171.39,16.69
171.69,16.18
171.99,16.27
172.29,16.12
172.6,16.16
172.9,16.52
173.2,16.4
173.5,16.39
173.81,16.25
174.11,16.44
174.41,16.28
174.71,15.78
175.02,16.02
175.32,16.27
175.62,16.09
175.93,16.13
176.23,16.2
176.53,16.24
176.83,16.12
177.13,16.0
177.44,16.0
177.74,16.28
178.04,16.02
178.34,16.03
178.65,15.91
178.95,16.05
179.25,16.03
179.55,15.96
179.86,16.04
180.16,16.2
180.46,16.21
180.77,16.18
181.07,16.27
181.37,16.38
181.67,16.16
181.98,15.94
182.28,16.23
182.58,16.07
182.88,16.11
183.19,16.21
183.49,16.15
183.79,15.9
184.09,16.12
184.4,16.28
184.7,16.01
185.0,16.47
185.3,16.29
185.61,16.25
185.91,16.04
186.21,16.27
186.51,16.08
186.82,16.34
187.12,16.36
187.42,16.29
187.72,16.4
188.03,16.2
188.33,16.25
188.63,16.34
188.93,16.22
189.24,16.38
189.54,16.12
189.84,16.27
190.14,16.09
190.45,16.15
190.75,16.4
191.05,16.2
191.35,16.43
191.66,16.22
191.96,16.1
192.26,15.95
192.57,15.92
192.87,16.27
193.17,16.04
193.47,15.8
193.77,15.93
194.08,16.06
194.38,15.86
194.68,16.04
194.98,16.11
195.29,15.79
195.59,16.04
195.89,15.84
196.2,15.87
196.5,15.77
196.8,15.85
197.1,15.65
197.41,15.64
197.71,15.76
198.01,15.75
198.31,16.19
198.62,15.52
198.92,15.65
199.22,15.79
199.52,15.7
199.83,15.84
200.13,15.72
200.43,15.85
200.73,15.84
201.04,15.7
201.34,15.58
201.64,15.81
201.94,15.84
202.25,15.94
202.55,15.78
202.85,15.99
203.15,15.91
203.46,15.96
203.76,15.93
204.06,15.87
204.36,15.9
204.67,16.03
204.97,15.9
205.27,15.74
205.57,16.1
205.88,16.01
206.18,16.14
206.48,16.09
206.78,16.47
207.09,16.06
207.39,16.3
207.69,16.31
207.99,16.31
208.3,16.02
208.6,16.24
208.9,16.33
209.2,16.17
209.51,16.13
209.81,16.15
210.11,16.15
210.41,16.31
210.72,16.33
211.02,16.37
211.32,16.13
211.62,16.44
211.93,16.07
212.23,16.43
212.53,16.24
212.84,16.15
213.14,16.26
213.44,16.51
213.74,16.28
214.04,15.99
214.35,16.11
214.65,16.19
214.95,16.14
215.26,16.02
215.56,16.11
215.86,16.03
216.16,16.22
216.47,16.02
216.77,16.14
217.07,16.01
217.37,16.17
217.68,16.07
217.98,15.9
218.28,15.8
218.58,16.0
218.89,16.03
219.19,15.71
219.49,15.83
219.79,15.93
220.1,15.73
220.4,15.8
220.7,16.19
221.0,15.96
221.3,15.59
221.61,15.63
221.91,15.72
222.21,15.58
222.52,15.62
222.82,15.9
223.12,15.5
223.42,15.77
223.73,15.72
224.03,15.37
224.33,15.71
224.63,15.75
224.94,15.47
225.24,15.89
225.54,15.55
225.84,15.77
226.15,15.7
226.45,15.65
226.75,15.79
227.05,15.91
227.36,16.17
227.66,15.89
227.96,15.63
228.26,15.86
228.57,16.03
228.87,15.87
229.17,15.89
229.48,15.86
229.78,15.8
230.08,15.93
230.38,15.76
230.68,16.07
230.99,15.91
231.29,16.13
231.59,16.05
231.9,16.22
232.2,15.96
232.5,16.48
232.8,16.09
233.11,16.13
233.41,16.34
233.71,16.34
234.01,16.03
234.32,16.35
234.62,16.15
234.92,16.21
235.22,16.28
235.52,16.37
235.83,16.69
236.13,16.32
236.43,16.37
236.74,16.54
237.04,16.21
237.34,16.34
237.64,16.16
237.95,16.26
238.25,16.28
238.55,16.25
238.85,16.05
239.16,16.47
239.46,16.05
239.76,16.18
240.06,16.23
240.37,16.1
240.67,16.22
240.97,16.29
241.27,16.03
241.58,16.13
241.88,16.04
242.18,15.85
242.48,16.2
242.79,15.96
243.09,16.22
243.39,16.03
243.69,15.97
244.0,15.9
244.3,15.83
244.6,15.84
244.9,15.79
245.21,15.66
245.51,15.84
245.81,15.78
246.11,15.96
246.42,15.83
246.72,15.97
247.02,15.48
247.32,15.67
247.63,15.75
247.93,15.44
248.23,15.57
248.54,16.09
248.84,15.63
249.14,15.96
249.44,15.46
249.75,15.8
250.05,15.75
250.35,15.36
250.65,15.44
250.95,15.77
251.26,15.38
251.56,15.78
251.86,15.46
252.16,15.58
252.47,15.39
252.77,15.63
253.07,15.6
253.38,15.22
253.68,15.56
253.98,15.74
254.28,15.38
254.59,15.65
254.89,15.55
255.19,15.84
255.49,15.84
255.8,15.65
256.1,15.58
256.4,15.77
256.7,15.72
257.01,15.88
257.31,15.52
257.61,15.83
257.91,15.71
258.22,15.9
258.52,15.83
258.82,15.65
259.12,16.03
259.43,16.03
259.73,15.78
260.03,15.83
260.33,15.91
260.64,15.91
260.94,15.87
261.24,15.88
261.54,15.96
261.85,15.78
262.15,15.71
262.45,16.08
262.75,15.72
263.06,15.72
263.36,15.93
263.66,15.77
263.96,15.9
264.27,15.89
264.57,15.59
264.87,15.81
265.17,15.99
265.48,15.89
265.78,15.4
266.08,15.73
266.39,15.52
266.69,15.64
266.99,15.47
267.29,15.33
267.59,15.6
267.9,15.64
268.2,15.46
268.5,15.57
268.8,15.64
269.11,15.42
269.41,15.56
269.71,15.56
270.02,15.53
270.32,15.48
270.62,15.77
270.92,15.3
271.23,15.71
271.53,15.41
271.83,15.53
272.13,15.48
272.44,15.33
272.74,15.39
273.04,15.39
273.34,15.58
273.64,15.63
273.95,15.25
274.25,15.73
274.55,15.51
274.86,15.33
275.16,15.65
275.46,16.28
275.76,15.44
276.07,15.6
276.37,15.36
276.67,15.34
276.97,15.39
277.28,15.48
277.58,15.51
277.88,15.53
278.18,15.24
278.49,15.57
278.79,15.45
279.09,15.39
279.39,15.57
279.7,15.38
280.0,15.56
280.3,15.61
280.6,15.5
280.91,15.68
281.21,15.4
281.51,15.65
281.82,15.83
282.12,15.68
282.42,15.87
282.72,15.84
283.02,15.65
283.33,15.99
283.63,15.87
283.93,15.96
284.23,16.08
284.54,15.55
284.84,15.99
285.14,15.82
285.45,15.51
285.75,15.69
286.05,15.77
286.35,15.59
286.66,15.96
286.96,15.57
287.26,15.73
287.56,15.68
287.86,15.67
288.17,15.7
288.47,15.59
288.77,15.65
289.08,15.69
289.38,15.51
289.68,15.81
289.98,15.66
290.29,15.73
290.59,16.23
290.89,15.7
291.19,15.62
291.5,15.42
291.8,15.59
292.1,15.63
292.4,16.16
292.71,15.58
293.01,15.51
293.31,15.35
293.61,15.52
293.92,15.5
294.22,15.43
294.52,15.3
294.82,15.41
295.13,15.6
295.43,15.58
295.73,15.74
296.03,15.35
296.34,15.5
296.64,15.47
296.94,15.55
297.24,15.56
297.55,15.38
297.85,15.5
298.15,15.47
298.45,15.67
298.76,15.37
299.06,15.68
299.36,15.68
299.66,15.53
299.97,15.77
300.27,15.44
300.57,15.69
300.87,15.66
301.18,15.76
301.48,15.55
301.78,15.65
302.08,15.95
302.39,15.6
302.69,15.39
302.99,15.42
303.3,15.55
303.6,15.77
303.9,15.55
304.2,15.65
304.51,15.76
304.81,15.71
305.11,16.27
305.41,15.84
305.72,15.57
306.02,15.71
306.32,15.63
306.62,15.61
306.92,15.89
307.23,15.59
307.53,15.78
307.83,15.55
308.14,15.68
308.44,15.52
308.74,15.56
309.04,15.77
309.35,15.29
309.65,15.76
309.95,15.73
