time (s),temperature (C)
120.61,22.66
120.91,22.55
121.22,22.61
121.52,22.57
121.82,22.55
122.12,22.55
122.43,22.59
122.73,22.54
123.03,22.57
123.33,22.58
123.64,22.55
123.94,22.47
124.24,22.53
124.54,22.51
124.85,22.48
125.15,22.51
125.45,22.53
125.75,22.43
126.06,22.48
126.36,22.46
126.66,22.46
126.96,22.44
127.27,22.43
127.57,22.45
127.87,22.4
128.18,22.44
128.48,22.44
128.78,22.46
129.08,22.46
129.38,22.44
129.69,22.43
129.99,22.44
130.29,22.44
130.6,22.45
130.9,22.45
131.2,22.49
131.5,22.47
131.81,22.46
132.11,22.48
132.41,22.52
132.71,22.47
133.02,22.54
133.32,22.51
133.62,22.54
133.92,22.53
134.23,22.57
134.53,22.53
134.83,22.56
135.13,22.55
135.44,22.53
135.74,22.54
136.04,22.59
136.34,22.57
136.65,22.6
136.95,22.54
137.25,22.6
137.55,22.54
137.86,22.54
138.16,22.56
138.46,22.52
138.77,22.52
139.07,22.49
139.37,22.48
139.67,22.43
139.97,22.49
140.28,22.42
140.58,22.38
140.88,22.46
141.19,22.38
141.49,22.36
141.79,22.34
142.09,22.37
142.4,22.33
142.7,22.33
143.0,22.32
143.3,22.31
143.61,22.28
143.91,22.28
144.21,22.27
144.51,22.24
144.82,22.24
145.12,22.27
145.42,22.29
145.72,22.28
146.02,22.28
146.33,22.29
146.63,22.31
146.93,22.28
147.24,22.33
147.54,22.29
147.84,22.33
148.14,22.32
148.45,22.33
148.75,22.34
149.05,22.35
149.35,22.34
149.66,22.37
149.96,22.36
150.26,22.37
150.56,22.43
150.87,22.41
151.17,22.38
151.47,22.41
151.77,22.45
152.08,22.44
152.38,22.43
152.68,22.48
152.98,22.46
153.29,22.46
153.59,22.53
153.89,22.5
154.19,22.49
154.5,22.51
154.8,22.48
155.1,22.5
155.41,22.5
155.71,22.45
156.01,22.49
156.31,22.46
156.62,22.48
156.92,22.46
157.22,22.5
157.52,22.43
157.83,22.46
158.13,22.41
158.43,22.4
158.73,22.41
159.04,22.35
159.34,22.37
159.64,22.35
159.94,22.32
160.25,22.3
160.55,22.31
160.85,22.24
161.15,22.26
161.46,22.25
161.76,22.2
162.06,22.15
162.36,22.17
162.67,22.13
162.97,22.15
163.27,22.15
163.57,22.13
163.88,22.13
164.18,22.11
164.48,22.11
164.78,22.09
165.09,22.07
165.39,22.05
165.69,22.08
165.99,22.04
166.3,22.06
166.6,22.07
166.9,22.06
167.2,22.08
167.51,22.05
167.81,22.06
168.11,22.06
168.41,22.11
168.72,22.1
169.02,22.14
169.32,22.13
169.62,22.15
169.93,22.12
170.23,22.16
170.53,22.18
170.83,22.14
171.14,22.22
171.44,22.23
171.74,22.16
172.05,22.23
172.35,22.27
172.65,22.24
172.95,22.21
173.26,22.34
173.56,22.24
173.86,22.3
174.16,22.31
174.47,22.33
174.77,22.31
175.07,22.34
175.37,22.3
175.68,22.31
175.98,22.35
176.28,22.32
176.58,22.31
176.88,22.3
177.19,22.33
177.49,22.3
177.79,22.31
178.1,22.33
178.4,22.27
178.7,22.23
179.0,22.25
179.31,22.22
179.61,22.2
179.91,22.22
180.21,22.23
180.52,22.17
180.82,22.16
181.12,22.16
181.42,22.15
181.73,22.12
182.03,22.13
182.33,22.15
182.63,22.07
182.94,22.13
183.24,22.1
183.54,22.09
183.84,22.1
184.15,22.09
184.45,22.08
184.75,22.07
185.05,22.06
185.36,22.08
185.66,22.09
185.96,22.09
186.27,22.11
186.57,22.13
186.87,22.13
187.17,22.12
187.47,22.13
187.78,22.13
188.08,22.16
188.38,22.14
188.69,22.16
188.99,22.19
189.29,22.2
189.59,22.2
189.9,22.24
190.2,22.22
190.5,22.21
190.8,22.34
191.11,22.25
191.41,22.26
191.71,22.35
192.01,22.32
192.32,22.34
192.62,22.35
192.92,22.36
193.22,22.33
193.53,22.38
193.83,22.35
194.13,22.35
194.43,22.34
194.74,22.36
195.04,22.31
195.34,22.29
195.64,22.34
195.95,22.32
196.25,22.28
196.55,22.32
196.85,22.29
197.16,22.25
197.46,22.23
197.76,22.27
198.07,22.21
198.37,22.23
198.67,22.22
198.97,22.17
199.27,22.11
199.58,22.14
199.88,22.13
200.18,22.11
200.48,22.09
200.79,22.06
201.09,22.1
201.39,22.05
201.7,22.05
202.0,22.05
202.3,22.07
202.6,22.02
202.91,22.02
203.21,22.03
203.51,22.06
203.81,22.05
204.12,22.05
204.42,22.05
204.72,22.07
205.02,22.05
205.33,22.1
205.63,22.08
205.93,22.12
206.23,22.13
206.54,22.13
206.84,22.15
207.14,22.14
207.44,22.15
207.75,22.19
208.05,22.13
208.35,22.22
208.65,22.23
208.96,22.2
209.26,22.25
209.56,22.31
209.86,22.26
210.17,22.27
210.47,22.28
210.77,22.29
211.07,22.29
211.38,22.3
211.68,22.31
211.98,22.31
212.28,22.33
212.59,22.32
212.89,22.34
213.19,22.31
213.49,22.27
213.8,22.28
214.1,22.26
214.4,22.26
214.71,22.23
215.01,22.24
215.31,22.23
215.61,22.19
215.91,22.16
216.22,22.17
216.52,22.13
216.82,22.1
217.13,22.09
217.43,22.06
217.73,22.04
218.03,22.0
218.34,22.04
218.64,21.99
218.94,21.96
219.24,21.95
219.55,21.94
219.85,21.94
220.15,21.9
220.45,21.93
220.76,21.87
221.06,21.89
221.36,21.89
221.66,21.91
221.97,21.87
222.27,21.91
222.57,21.92
222.87,21.91
223.18,21.91
223.48,21.95
223.78,21.95
224.08,21.98
224.39,21.95
224.69,21.99
224.99,22.02
225.29,22.03
225.6,22.05
225.9,22.04
226.2,22.07
226.5,22.1
226.81,22.08
227.11,22.13
227.41,22.09
227.72,22.12
228.02,22.15
228.32,22.12
228.62,22.15
228.92,22.14
229.23,22.19
229.53,22.19
229.83,22.21
230.13,22.25
230.44,22.23
230.74,22.21
231.04,22.25
231.35,22.23
231.65,22.21
231.95,22.2
232.25,22.16
232.55,22.17
232.86,22.17
233.16,22.15
233.46,22.14
233.77,22.12
234.07,22.09
234.37,22.07
234.67,22.07
234.98,22.09
235.28,22.01
235.58,22.0
235.88,22.02
236.19,21.96
236.49,21.95
236.79,21.91
237.09,21.93
237.4,21.84
237.7,21.92
238.0,21.88
238.3,21.86
238.61,21.87
238.91,21.84
239.21,21.84
239.51,21.82
239.82,21.85
240.12,21.82
240.42,21.81
240.72,21.83
241.03,21.81
241.33,21.82
241.63,21.83
241.93,21.84
242.24,21.8
242.54,21.86
242.84,21.84
243.14,21.83
243.45,21.89
243.75,21.89
244.05,21.9
244.36,21.91
244.66,21.94
244.96,21.91
245.26,21.92
245.57,21.97
245.87,21.97
246.17,21.96
246.47,21.99
246.77,21.97
247.08,21.95
247.38,21.97
247.68,21.99
247.99,21.94
248.29,21.95
248.59,21.99
248.89,21.96
249.2,21.94
249.5,21.97
249.8,21.92
250.1,21.92
250.41,21.94
250.71,21.96
251.01,21.88
251.31,21.93
251.62,21.94
251.92,21.9
252.22,21.88
252.52,21.94
252.83,21.85
253.13,21.87
253.43,21.85
253.73,21.85
254.04,21.86
254.34,21.84
254.64,21.84
254.94,21.84
255.25,21.85
255.55,21.81
255.85,21.84
256.15,21.83
256.46,21.83
256.76,21.84
257.06,21.81
257.36,21.86
257.67,21.83
257.97,21.83
258.27,21.85
258.58,21.86
258.88,21.83
259.18,21.83
259.48,21.87
259.78,21.87
260.09,21.86
260.39,21.9
260.69,21.86
261.0,21.9
261.3,21.92
261.6,21.94
261.9,21.91
262.2,22.0
262.51,21.94
262.81,21.9
263.11,21.98
263.42,21.96
263.72,21.94
264.02,21.96
264.32,21.98
264.63,21.95
264.93,21.96
265.23,21.99
265.53,21.95
265.84,21.95
266.14,21.99
266.44,21.96
266.74,21.95
267.05,21.94
267.35,22.0
267.65,21.91
267.95,21.95
268.26,21.95
268.56,21.89
268.86,21.94
269.16,21.95
269.47,21.84
269.77,21.92
270.07,21.87
270.37,21.87
270.68,21.82
270.98,21.87
271.28,21.84
271.58,21.82
271.89,21.87
272.19,21.8
272.49,21.78
272.79,21.8
273.1,21.82
273.4,21.78
273.7,21.77
274.0,21.81
274.31,21.74
274.61,21.78
274.91,21.8
275.22,21.75
275.52,21.78
275.82,21.76
276.12,21.74
276.42,21.74
276.73,21.76
277.03,21.74
277.33,21.74
277.64,21.76
277.94,21.78
278.24,21.75
278.54,21.75
278.85,21.83
279.15,21.74
279.45,21.77
279.75,21.77
280.05,21.79
280.36,21.74
280.66,21.81
280.96,21.8
281.27,21.76
281.57,21.83
281.87,21.82
282.17,21.78
282.48,21.82
282.78,21.8
283.08,21.81
283.38,21.81
283.69,21.83
283.99,21.85
284.29,21.85
284.59,21.84
284.9,21.84
285.2,21.85
285.5,21.83
285.8,21.84
286.11,21.81
286.41,21.83
286.71,21.82
287.01,21.78
287.32,21.8
287.62,21.8
287.92,21.78
288.23,21.77
288.53,21.78
288.83,21.73
289.13,21.7
289.44,21.73
289.74,21.71
290.04,21.64
290.34,21.67
290.65,21.66
290.95,21.6
291.25,21.63
291.55,21.6
291.86,21.59
292.16,21.57
292.46,21.55
292.76,21.56
293.07,21.55
293.37,21.54
293.67,21.56
293.97,21.58
294.28,21.56
294.58,21.54
294.88,21.54
295.18,21.52
295.49,21.54
295.79,21.56
296.09,21.54
296.39,21.53
296.7,21.53
297.0,21.56
297.3,21.57
297.6,21.58
297.91,21.59
298.21,21.64
298.51,21.67
298.81,21.62
299.12,21.7
299.42,21.71
299.72,21.7
300.02,21.7
300.33,21.73
300.63,21.69
300.93,21.74
301.23,21.79
301.54,21.76
301.84,21.77
302.14,21.84
302.45,21.81
302.75,21.86
303.05,21.8
303.35,21.82
303.65,21.81
303.96,21.83
304.26,21.85
304.56,21.81
304.86,21.83
305.17,21.84
305.47,21.8
305.77,21.79
306.08,21.82
306.38,21.76
306.68,21.75
306.98,21.79
307.29,21.75
307.59,21.73
307.89,21.75
308.19,21.76
308.5,21.7
308.8,21.71
309.1,21.69
309.4,21.69
309.71,21.65
310.01,21.69
310.31,21.63
310.61,21.64
310.92,21.63
311.22,21.63
311.52,21.58
311.82,21.58
312.13,21.59
312.43,21.58
312.73,21.53
313.03,21.58
313.34,21.54
313.64,21.53
313.94,21.55
314.25,21.6
314.55,21.56
314.85,21.57
315.15,21.57
315.45,21.59
315.76,21.62
316.06,21.61
316.36,21.62
316.66,21.65
316.97,21.68
317.27,21.63
317.57,21.7
317.88,21.72
318.18,21.71
318.48,21.72
318.78,21.77
319.08,21.73
319.39,21.74
319.69,21.74
319.99,21.78
320.3,21.78
320.6,21.76
320.9,21.79
321.2,21.77
321.51,21.79
321.81,21.76
322.11,21.79
322.41,21.78
322.72,21.73
323.02,21.73
323.32,21.74
323.62,21.71
323.93,21.74
324.23,21.7
324.53,21.7
324.83,21.7
325.14,21.66
325.44,21.68
325.74,21.62
326.04,21.6
326.35,21.59
326.65,21.59
326.95,21.51
327.26,21.56
327.56,21.54
327.86,21.5
328.16,21.44
328.46,21.5
328.77,21.41
329.07,21.44
329.37,21.44
329.67,21.41
329.98,21.43
330.28,21.4
330.58,21.42
330.89,21.36
331.19,21.39
331.49,21.38
331.79,21.4
332.1,21.37
332.4,21.4
332.7,21.43
333.0,21.42
333.3,21.44
333.61,21.45
333.91,21.46
334.21,21.48
334.52,21.48
334.82,21.47
335.12,21.54
335.42,21.51
335.73,21.49
336.03,21.53
336.33,21.55
336.63,21.51
336.94,21.53
337.24,21.56
337.54,21.53
337.84,21.54
338.15,21.53
338.45,21.56
338.75,21.57
339.05,21.54
339.36,21.54
339.66,21.54
339.96,21.55
340.26,21.52
340.57,21.52
340.87,21.53
341.17,21.51
341.47,21.48
341.78,21.45
342.08,21.48
342.38,21.44
342.68,21.39
342.99,21.45
343.29,21.37
343.59,21.38
343.89,21.38
344.2,21.35
344.5,21.34
344.8,21.37
345.11,21.33
345.41,21.34
345.71,21.29
346.01,21.31
346.32,21.31
346.62,21.3
346.92,21.28
347.22,21.3
347.53,21.25
347.83,21.27
348.13,21.31
348.43,21.28
348.73,21.27
349.04,21.32
349.34,21.28
349.64,21.34
349.95,21.36
350.25,21.33
350.55,21.32
350.85,21.35
351.16,21.34
351.46,21.35
351.76,21.37
352.06,21.42
352.37,21.38
352.67,21.42
352.97,21.44
353.27,21.44
353.58,21.41
353.88,21.48
354.18,21.45
354.48,21.45
354.79,21.49
355.09,21.45
355.39,21.47
355.69,21.53
356.0,21.54
356.3,21.53
356.6,21.5
356.9,21.57
357.21,21.53
357.51,21.51
357.81,21.53
358.11,21.52
358.42,21.53
358.72,21.5
359.02,21.48
359.33,21.47
359.63,21.47
359.93,21.45
360.23,21.44
360.54,21.45
360.84,21.42
361.14,21.37
361.44,21.41
361.75,21.41
362.05,21.33
362.35,21.36
